model,fold,feature_alpha,label_noise_p,flipped_labels,suspect_labels,accuracy,precision_m,recall_m,specificity_b,f1_m,roc_auc
logreg_baseline,19,0.0,0.0,0,26,0.9824561403508771,1.0,0.9523809523809523,1.0,0.975609756097561,0.9947089947089947
svm_rbf_baseline,19,0.0,0.0,0,26,0.9824561403508771,1.0,0.9523809523809523,1.0,0.975609756097561,0.9920634920634921
rf_baseline,19,0.0,0.0,0,26,0.9298245614035088,0.8695652173913043,0.9523809523809523,0.9166666666666666,0.9090909090909091,0.9715608465608465
logreg_robust,19,0.0,0.0,0,26,0.9824561403508771,1.0,0.9523809523809523,1.0,0.975609756097561,0.9933862433862435
svm_rbf_robust,19,0.0,0.0,0,26,0.9824561403508771,1.0,0.9523809523809523,1.0,0.975609756097561,0.9867724867724867
rf_robust,19,0.0,0.0,0,26,0.9122807017543859,0.8636363636363636,0.9047619047619048,0.9166666666666666,0.8837209302325582,0.9642857142857142
logreg_baseline,20,0.0,0.0,0,26,1.0,1.0,1.0,1.0,1.0,1.0
svm_rbf_baseline,20,0.0,0.0,0,26,0.9821428571428571,0.9545454545454546,1.0,0.9714285714285714,0.9767441860465116,1.0
rf_baseline,20,0.0,0.0,0,26,0.9642857142857143,0.9523809523809523,0.9523809523809523,0.9714285714285714,0.9523809523809523,0.9972789115646259
logreg_robust,20,0.0,0.0,0,26,0.9821428571428571,0.9545454545454546,1.0,0.9714285714285714,0.9767441860465116,1.0
svm_rbf_robust,20,0.0,0.0,0,26,0.9821428571428571,0.9545454545454546,1.0,0.9714285714285714,0.9767441860465116,0.998639455782313
rf_robust,20,0.0,0.0,0,26,0.9642857142857143,0.9523809523809523,0.9523809523809523,0.9714285714285714,0.9523809523809523,0.9959183673469387
logreg_baseline,21,0.0,0.0,0,26,1.0,1.0,1.0,1.0,1.0,1.0
svm_rbf_baseline,21,0.0,0.0,0,26,0.9824561403508771,1.0,0.9545454545454546,1.0,0.9767441860465116,1.0
rf_baseline,21,0.0,0.0,0,26,0.9298245614035088,1.0,0.8181818181818182,1.0,0.9,0.9948051948051948
logreg_robust,21,0.0,0.0,0,26,1.0,1.0,1.0,1.0,1.0,1.0
svm_rbf_robust,21,0.0,0.0,0,26,0.9824561403508771,1.0,0.9545454545454546,1.0,0.9767441860465116,0.9987012987012986
rf_robust,21,0.0,0.0,0,26,0.9473684210526315,0.9523809523809523,0.9090909090909091,0.9714285714285714,0.9302325581395349,0.9948051948051948
logreg_baseline,22,0.0,0.0,0,26,0.9824561403508771,1.0,0.9545454545454546,1.0,0.9767441860465116,0.9948051948051948
svm_rbf_baseline,22,0.0,0.0,0,26,0.9824561403508771,1.0,0.9545454545454546,1.0,0.9767441860465116,0.9935064935064936
rf_baseline,22,0.0,0.0,0,26,0.9122807017543859,0.9047619047619048,0.8636363636363636,0.9428571428571428,0.8837209302325582,0.9590909090909092
logreg_robust,22,0.0,0.0,0,26,0.9824561403508771,1.0,0.9545454545454546,1.0,0.9767441860465116,0.9922077922077921
svm_rbf_robust,22,0.0,0.0,0,26,0.9824561403508771,1.0,0.9545454545454546,1.0,0.9767441860465116,0.990909090909091
rf_robust,22,0.0,0.0,0,26,0.9122807017543859,0.9047619047619048,0.8636363636363636,0.9428571428571428,0.8837209302325582,0.9584415584415584
logreg_baseline,23,0.0,0.0,0,26,1.0,1.0,1.0,1.0,1.0,1.0
svm_rbf_baseline,23,0.0,0.0,0,26,0.9649122807017544,0.9523809523809523,0.9523809523809523,0.9722222222222222,0.9523809523809523,0.9986772486772486
rf_baseline,23,0.0,0.0,0,26,0.9824561403508771,0.9545454545454546,1.0,0.9722222222222222,0.9767441860465116,1.0
logreg_robust,23,0.0,0.0,0,26,1.0,1.0,1.0,1.0,1.0,1.0
svm_rbf_robust,23,0.0,0.0,0,26,0.9824561403508771,1.0,0.9523809523809523,1.0,0.975609756097561,1.0
rf_robust,23,0.0,0.0,0,26,0.9824561403508771,0.9545454545454546,1.0,0.9722222222222222,0.9767441860465116,1.0
logreg_baseline,24,0.0,0.0,0,26,0.9649122807017544,0.9523809523809523,0.9523809523809523,0.9722222222222222,0.9523809523809523,0.9933862433862434
svm_rbf_baseline,24,0.0,0.0,0,26,0.9824561403508771,0.9545454545454546,1.0,0.9722222222222222,0.9767441860465116,0.996031746031746
rf_baseline,24,0.0,0.0,0,26,0.9824561403508771,0.9545454545454546,1.0,0.9722222222222222,0.9767441860465116,1.0
logreg_robust,24,0.0,0.0,0,26,0.9649122807017544,0.9523809523809523,0.9523809523809523,0.9722222222222222,0.9523809523809523,0.9933862433862434
svm_rbf_robust,24,0.0,0.0,0,26,0.9649122807017544,0.9523809523809523,0.9523809523809523,0.9722222222222222,0.9523809523809523,0.9986772486772486
rf_robust,24,0.0,0.0,0,26,0.9824561403508771,0.9545454545454546,1.0,0.9722222222222222,0.9767441860465116,1.0
logreg_baseline,25,0.0,0.0,0,26,0.9824561403508771,0.9545454545454546,1.0,0.9722222222222222,0.9767441860465116,1.0
svm_rbf_baseline,25,0.0,0.0,0,26,0.9824561403508771,0.9545454545454546,1.0,0.9722222222222222,0.9767441860465116,1.0
rf_baseline,25,0.0,0.0,0,26,1.0,1.0,1.0,1.0,1.0,1.0
logreg_robust,25,0.0,0.0,0,26,0.9824561403508771,0.9545454545454546,1.0,0.9722222222222222,0.9767441860465116,1.0
svm_rbf_robust,25,0.0,0.0,0,26,0.9824561403508771,0.9545454545454546,1.0,0.9722222222222222,0.9767441860465116,1.0
rf_robust,25,0.0,0.0,0,26,0.9824561403508771,0.9545454545454546,1.0,0.9722222222222222,0.9767441860465116,1.0
logreg_baseline,26,0.0,0.0,0,26,1.0,1.0,1.0,1.0,1.0,1.0
svm_rbf_baseline,26,0.0,0.0,0,26,1.0,1.0,1.0,1.0,1.0,1.0
rf_baseline,26,0.0,0.0,0,26,0.9649122807017544,0.9523809523809523,0.9523809523809523,0.9722222222222222,0.9523809523809523,0.9986772486772486
logreg_robust,26,0.0,0.0,0,26,1.0,1.0,1.0,1.0,1.0,1.0
svm_rbf_robust,26,0.0,0.0,0,26,1.0,1.0,1.0,1.0,1.0,1.0
rf_robust,26,0.0,0.0,0,26,0.9649122807017544,0.9523809523809523,0.9523809523809523,0.9722222222222222,0.9523809523809523,0.9986772486772486
logreg_baseline,27,0.0,0.0,0,26,0.9824561403508771,1.0,0.9523809523809523,1.0,0.975609756097561,0.9986772486772486
svm_rbf_baseline,27,0.0,0.0,0,26,0.9824561403508771,1.0,0.9523809523809523,1.0,0.975609756097561,0.9973544973544973
rf_baseline,27,0.0,0.0,0,26,0.9824561403508771,1.0,0.9523809523809523,1.0,0.975609756097561,0.9986772486772486
logreg_robust,27,0.0,0.0,0,26,0.9649122807017544,0.9523809523809523,0.9523809523809523,0.9722222222222222,0.9523809523809523,0.9986772486772486
svm_rbf_robust,27,0.0,0.0,0,26,0.9824561403508771,1.0,0.9523809523809523,1.0,0.975609756097561,0.9973544973544973
rf_robust,27,0.0,0.0,0,26,0.9649122807017544,0.9523809523809523,0.9523809523809523,0.9722222222222222,0.9523809523809523,0.9986772486772486
logreg_baseline,28,0.0,0.0,0,26,0.9824561403508771,1.0,0.9523809523809523,1.0,0.975609756097561,0.98015873015873
svm_rbf_baseline,28,0.0,0.0,0,26,0.9824561403508771,1.0,0.9523809523809523,1.0,0.975609756097561,0.9828042328042328
rf_baseline,28,0.0,0.0,0,26,0.9473684210526315,1.0,0.8571428571428571,1.0,0.9230769230769231,0.9841269841269842
logreg_robust,28,0.0,0.0,0,26,0.9824561403508771,1.0,0.9523809523809523,1.0,0.975609756097561,0.98015873015873
svm_rbf_robust,28,0.0,0.0,0,26,0.9473684210526315,1.0,0.8571428571428571,1.0,0.9230769230769231,0.9841269841269842
rf_robust,28,0.0,0.0,0,26,0.9473684210526315,1.0,0.8571428571428571,1.0,0.9230769230769231,0.9828042328042328
logreg_baseline,29,0.0,0.0,0,26,0.9649122807017544,1.0,0.9047619047619048,1.0,0.95,0.9867724867724867
svm_rbf_baseline,29,0.0,0.0,0,26,0.9649122807017544,0.9523809523809523,0.9523809523809523,0.9722222222222222,0.9523809523809523,0.9933862433862435
rf_baseline,29,0.0,0.0,0,26,0.9298245614035088,0.8695652173913043,0.9523809523809523,0.9166666666666666,0.9090909090909091,0.9728835978835978
logreg_robust,29,0.0,0.0,0,26,0.9649122807017544,1.0,0.9047619047619048,1.0,0.95,0.9880952380952381
svm_rbf_robust,29,0.0,0.0,0,26,0.9473684210526315,0.9090909090909091,0.9523809523809523,0.9444444444444444,0.9302325581395349,0.9947089947089947
rf_robust,29,0.0,0.0,0,26,0.9298245614035088,0.8695652173913043,0.9523809523809523,0.9166666666666666,0.9090909090909091,0.9735449735449735
logreg_baseline,30,0.0,0.0,0,26,0.9821428571428571,1.0,0.9523809523809523,1.0,0.975609756097561,0.998639455782313
svm_rbf_baseline,30,0.0,0.0,0,26,0.9821428571428571,1.0,0.9523809523809523,1.0,0.975609756097561,0.998639455782313
rf_baseline,30,0.0,0.0,0,26,0.9821428571428571,0.9545454545454546,1.0,0.9714285714285714,0.9767441860465116,0.9972789115646259
logreg_robust,30,0.0,0.0,0,26,0.9821428571428571,1.0,0.9523809523809523,1.0,0.975609756097561,0.998639455782313
svm_rbf_robust,30,0.0,0.0,0,26,0.9642857142857143,1.0,0.9047619047619048,1.0,0.95,0.998639455782313
rf_robust,30,0.0,0.0,0,26,0.9821428571428571,0.9545454545454546,1.0,0.9714285714285714,0.9767441860465116,0.998639455782313
logreg_baseline,31,0.0,0.0,0,26,1.0,1.0,1.0,1.0,1.0,1.0
svm_rbf_baseline,31,0.0,0.0,0,26,0.9824561403508771,1.0,0.9545454545454546,1.0,0.9767441860465116,1.0
rf_baseline,31,0.0,0.0,0,26,0.9649122807017544,1.0,0.9090909090909091,1.0,0.9523809523809523,0.9974025974025974
logreg_robust,31,0.0,0.0,0,26,0.9649122807017544,0.9545454545454546,0.9545454545454546,0.9714285714285714,0.9545454545454546,0.9987012987012986
svm_rbf_robust,31,0.0,0.0,0,26,0.9649122807017544,1.0,0.9090909090909091,1.0,0.9523809523809523,1.0
rf_robust,31,0.0,0.0,0,26,0.9473684210526315,0.9523809523809523,0.9090909090909091,0.9714285714285714,0.9302325581395349,0.996103896103896
logreg_baseline,32,0.0,0.0,0,26,0.9824561403508771,1.0,0.9545454545454546,1.0,0.9767441860465116,0.9948051948051948
svm_rbf_baseline,32,0.0,0.0,0,26,0.9649122807017544,1.0,0.9090909090909091,1.0,0.9523809523809523,0.9948051948051948
rf_baseline,32,0.0,0.0,0,26,0.9473684210526315,0.9523809523809523,0.9090909090909091,0.9714285714285714,0.9302325581395349,0.9831168831168832
logreg_robust,32,0.0,0.0,0,26,0.9824561403508771,1.0,0.9545454545454546,1.0,0.9767441860465116,0.996103896103896
svm_rbf_robust,32,0.0,0.0,0,26,0.9649122807017544,1.0,0.9090909090909091,1.0,0.9523809523809523,0.9935064935064934
rf_robust,32,0.0,0.0,0,26,0.9473684210526315,0.9130434782608695,0.9545454545454546,0.9428571428571428,0.9333333333333333,0.987012987012987
logreg_baseline,33,0.0,0.0,0,26,1.0,1.0,1.0,1.0,1.0,1.0
svm_rbf_baseline,33,0.0,0.0,0,26,1.0,1.0,1.0,1.0,1.0,1.0
rf_baseline,33,0.0,0.0,0,26,0.9473684210526315,0.9090909090909091,0.9523809523809523,0.9444444444444444,0.9302325581395349,0.9933862433862434
logreg_robust,33,0.0,0.0,0,26,1.0,1.0,1.0,1.0,1.0,1.0
svm_rbf_robust,33,0.0,0.0,0,26,0.9824561403508771,1.0,0.9523809523809523,1.0,0.975609756097561,1.0
rf_robust,33,0.0,0.0,0,26,0.9473684210526315,0.9090909090909091,0.9523809523809523,0.9444444444444444,0.9302325581395349,0.9933862433862434
logreg_baseline,34,0.0,0.0,0,26,0.9473684210526315,0.95,0.9047619047619048,0.9722222222222222,0.926829268292683,0.9947089947089947
svm_rbf_baseline,34,0.0,0.0,0,26,0.9649122807017544,0.9523809523809523,0.9523809523809523,0.9722222222222222,0.9523809523809523,0.9973544973544973
rf_baseline,34,0.0,0.0,0,26,0.9122807017543859,0.8333333333333334,0.9523809523809523,0.8888888888888888,0.8888888888888888,0.9933862433862434
logreg_robust,34,0.0,0.0,0,26,0.9298245614035088,0.9047619047619048,0.9047619047619048,0.9444444444444444,0.9047619047619048,0.992063492063492
svm_rbf_robust,34,0.0,0.0,0,26,0.9649122807017544,0.9523809523809523,0.9523809523809523,0.9722222222222222,0.9523809523809523,0.996031746031746
rf_robust,34,0.0,0.0,0,26,0.9122807017543859,0.8076923076923077,1.0,0.8611111111111112,0.8936170212765957,0.9894179894179893
logreg_baseline,35,0.0,0.0,0,26,0.9824561403508771,1.0,0.9523809523809523,1.0,0.975609756097561,0.9986772486772486
svm_rbf_baseline,35,0.0,0.0,0,26,0.9824561403508771,1.0,0.9523809523809523,1.0,0.975609756097561,0.9907407407407407
rf_baseline,35,0.0,0.0,0,26,0.9473684210526315,0.95,0.9047619047619048,0.9722222222222222,0.926829268292683,0.996031746031746
logreg_robust,35,0.0,0.0,0,26,0.9824561403508771,1.0,0.9523809523809523,1.0,0.975609756097561,0.9986772486772486
svm_rbf_robust,35,0.0,0.0,0,26,0.9824561403508771,1.0,0.9523809523809523,1.0,0.975609756097561,0.9947089947089947
